pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Qué imperio construyó el Coliseo?,El Imperio Otomano,El Imperio Romano,El Imperio Griego,El Imperio Bizantino,2
¿Quién fue Napoleón Bonaparte?,Emperador de Francia,Zar de Rusia,Presidente de Italia,Rey de España,1
¿Qué guerra terminó con el Tratado de Versalles?,Primera Guerra Mundial,Guerra Fría,Segunda Guerra Mundial,Guerra de Vietnam,1
¿Quién fue el primer presidente de Estados Unidos?,John Adams,Abraham Lincoln,George Washington,Thomas Jefferson,3
¿En qué año cayó el Muro de Berlín?,1989,1985,1993,1991,1
¿Qué imperio construyó el Coliseo?,El Imperio Otomano,El Imperio Bizantino,El Imperio Romano,El Imperio Griego,3
¿Quién fue Napoleón Bonaparte?,Rey de España,Zar de Rusia,Presidente de Italia,Emperador de Francia,4
¿Cuál es el planeta más grande del sistema solar?,Neptuno,Saturno,Marte,Júpiter,4
¿Qué gas respiramos para vivir?,Dióxido de carbono,Oxígeno,Hidrógeno,Nitrógeno,2
¿Qué órgano humano bombea sangre?,Los pulmones,El corazón,El riñón,El hígado,2
¿Qué científico propuso la teoría de la relatividad?,Galileo Galilei,Nikola Tesla,Albert Einstein,Isaac Newton,3
¿Qué sustancia da color a la piel?,Colágeno,Hemoglobina,Melanina,Queratina,3
¿Cuál es el planeta más grande del sistema solar?,Neptuno,Saturno,Júpiter,Marte,3
¿Qué gas respiramos para vivir?,Oxígeno,Hidrógeno,Nitrógeno,Dióxido de carbono,1
¿Qué órgano humano bombea sangre?,El riñón,El hígado,Los pulmones,El corazón,4
¿Qué científico propuso la teoría de la relatividad?,Nikola Tesla,Albert Einstein,Galileo Galilei,Isaac Newton,2
¿Qué sustancia da color a la piel?,Queratina,Hemoglobina,Colágeno,Melanina,4
¿Cuál es el planeta más grande del sistema solar?,Saturno,Marte,Neptuno,Júpiter,4
¿Qué gas respiramos para vivir?,Oxígeno,Hidrógeno,Nitrógeno,Dióxido de carbono,1
¿Qué órgano humano bombea sangre?,Los pulmones,El riñón,El corazón,El hígado,3
¿Qué científico propuso la teoría de la relatividad?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,3
¿Qué sustancia da color a la piel?,Colágeno,Queratina,Melanina,Hemoglobina,3
¿Cuál es el planeta más grande del sistema solar?,Saturno,Júpiter,Marte,Neptuno,2
¿Qué gas respiramos para vivir?,Hidrógeno,Nitrógeno,Dióxido de carbono,Oxígeno,4
¿Qué órgano humano bombea sangre?,El riñón,Los pulmones,El corazón,El hígado,3
¿Qué científico propuso la teoría de la relatividad?,Nikola Tesla,Isaac Newton,Albert Einstein,Galileo Galilei,3
¿Qué sustancia da color a la piel?,Colágeno,Melanina,Queratina,Hemoglobina,2
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Marte,Neptuno,1
¿Qué gas respiramos para vivir?,Hidrógeno,Dióxido de carbono,Oxígeno,Nitrógeno,3
¿Qué órgano humano bombea sangre?,El riñón,El corazón,El hígado,Los pulmones,2
¿Qué científico propuso la teoría de la relatividad?,Nikola Tesla,Isaac Newton,Albert Einstein,Galileo Galilei,3
¿Qué sustancia da color a la piel?,Melanina,Hemoglobina,Colágeno,Queratina,1
¿Cuál es el planeta más grande del sistema solar?,Saturno,Neptuno,Júpiter,Marte,3
¿Qué gas respiramos para vivir?,Hidrógeno,Dióxido de carbono,Nitrógeno,Oxígeno,4
¿Qué órgano humano bombea sangre?,El riñón,Los pulmones,El corazón,El hígado,3
¿Qué científico propuso la teoría de la relatividad?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,3
¿Qué sustancia da color a la piel?,Colágeno,Hemoglobina,Melanina,Queratina,3
¿Cuál es el planeta más grande del sistema solar?,Saturno,Júpiter,Neptuno,Marte,2
¿Qué gas respiramos para vivir?,Hidrógeno,Nitrógeno,Oxígeno,Dióxido de carbono,3
¿Qué órgano humano bombea sangre?,El hígado,Los pulmones,El riñón,El corazón,4
¿Qué científico propuso la teoría de la relatividad?,Galileo Galilei,Albert Einstein,Nikola Tesla,Isaac Newton,2
¿Qué sustancia da color a la piel?,Queratina,Colágeno,Melanina,Hemoglobina,3
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Neptuno,Marte,1
¿Qué gas respiramos para vivir?,Oxígeno,Dióxido de carbono,Nitrógeno,Hidrógeno,1
¿Qué órgano humano bombea sangre?,El hígado,Los pulmones,El riñón,El corazón,4
¿Qué científico propuso la teoría de la relatividad?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
¿Qué sustancia da color a la piel?,Queratina,Hemoglobina,Colágeno,Melanina,4
¿Cuál es el planeta más grande del sistema solar?,Saturno,Neptuno,Marte,Júpiter,4
¿Qué gas respiramos para vivir?,Oxígeno,Hidrógeno,Nitrógeno,Dióxido de carbono,1
¿Qué órgano humano bombea sangre?,El corazón,El hígado,El riñón,Los pulmones,1
¿Qué científico propuso la teoría de la relatividad?,Isaac Newton,Galileo Galilei,Albert Einstein,Nikola Tesla,3
¿Qué sustancia da color a la piel?,Hemoglobina,Melanina,Queratina,Colágeno,2
¿Cuál es el planeta más grande del sistema solar?,Neptuno,Saturno,Marte,Júpiter,4
¿Qué gas respiramos para vivir?,Dióxido de carbono,Oxígeno,Hidrógeno,Nitrógeno,2
¿Qué órgano humano bombea sangre?,El corazón,El hígado,Los pulmones,El riñón,1
¿Qué científico propuso la teoría de la relatividad?,Isaac Newton,Galileo Galilei,Nikola Tesla,Albert Einstein,4
¿Qué sustancia da color a la piel?,Melanina,Hemoglobina,Colágeno,Queratina,1
¿Cuál es el país más grande del mundo?,Estados Unidos,China,Rusia,Canadá,3
¿En qué continente está Egipto?,Asia,Europa,África,América,3
¿Cuál es el río más largo del mundo?,El Mississippi,El Amazonas,El Yangtsé,El Nilo,2
¿Qué país tiene forma de bota?,Grecia,Italia,España,Portugal,2
¿Dónde está ubicada la Torre Eiffel?,Alemania,Inglaterra,Italia,Francia,4
¿Cuál es el país más grande del mundo?,Rusia,Canadá,China,Estados Unidos,1
¿En qué continente está Egipto?,Europa,América,Asia,África,4
¿Cuál es el río más largo del mundo?,El Yangtsé,El Amazonas,El Mississippi,El Nilo,2
¿Qué país tiene forma de bota?,Portugal,España,Italia,Grecia,3
¿Dónde está ubicada la Torre Eiffel?,Inglaterra,Italia,Alemania,Francia,4
¿Cuál es el país más grande del mundo?,Estados Unidos,Canadá,China,Rusia,4
¿En qué continente está Egipto?,Asia,Europa,África,América,3
¿Cuál es el río más largo del mundo?,El Yangtsé,El Mississippi,El Amazonas,El Nilo,3
¿Qué país tiene forma de bota?,Italia,España,Portugal,Grecia,1
¿Dónde está ubicada la Torre Eiffel?,Alemania,Inglaterra,Italia,Francia,4
¿Cuál es el país más grande del mundo?,Rusia,China,Canadá,Estados Unidos,1
¿En qué continente está Egipto?,Europa,Asia,África,América,3
¿Cuál es el río más largo del mundo?,El Yangtsé,El Mississippi,El Nilo,El Amazonas,4
¿Qué país tiene forma de bota?,Portugal,España,Italia,Grecia,3
¿Dónde está ubicada la Torre Eiffel?,Alemania,Inglaterra,Italia,Francia,4
¿Cuál es el país más grande del mundo?,China,Rusia,Canadá,Estados Unidos,2
¿En qué continente está Egipto?,Europa,América,África,Asia,3
¿Cuál es el río más largo del mundo?,El Amazonas,El Yangtsé,El Mississippi,El Nilo,1
¿Qué país tiene forma de bota?,Italia,España,Grecia,Portugal,1
¿Dónde está ubicada la Torre Eiffel?,Francia,Italia,Alemania,Inglaterra,1
¿Cuál es el país más grande del mundo?,Estados Unidos,Rusia,Canadá,China,2
¿En qué continente está Egipto?,Europa,África,América,Asia,2
¿Cuál es el río más largo del mundo?,El Amazonas,El Mississippi,El Nilo,El Yangtsé,1
¿Qué país tiene forma de bota?,Italia,Portugal,Grecia,España,1
¿Dónde está ubicada la Torre Eiffel?,Italia,Alemania,Francia,Inglaterra,3
¿Cuál es el país más grande del mundo?,China,Canadá,Estados Unidos,Rusia,4
¿En qué continente está Egipto?,América,África,Europa,Asia,2
¿Cuál es el río más largo del mundo?,El Amazonas,El Yangtsé,El Nilo,El Mississippi,1
¿Qué país tiene forma de bota?,España,Portugal,Italia,Grecia,3
¿Dónde está ubicada la Torre Eiffel?,Alemania,Italia,Francia,Inglaterra,3
¿Cuál es el país más grande del mundo?,Canadá,China,Estados Unidos,Rusia,4
¿En qué continente está Egipto?,África,Asia,América,Europa,1
¿Cuál es el río más largo del mundo?,El Mississippi,El Yangtsé,El Amazonas,El Nilo,3
¿Qué país tiene forma de bota?,Italia,España,Portugal,Grecia,1
¿Dónde está ubicada la Torre Eiffel?,Inglaterra,Italia,Francia,Alemania,3
¿Cuál es el país más grande del mundo?,Rusia,Estados Unidos,Canadá,China,1
¿En qué continente está Egipto?,América,Europa,África,Asia,3
¿Cuál es el río más largo del mundo?,El Mississippi,El Nilo,El Yangtsé,El Amazonas,4
¿Qué país tiene forma de bota?,Italia,España,Portugal,Grecia,1
¿Dónde está ubicada la Torre Eiffel?,Alemania,Italia,Inglaterra,Francia,4
¿Cuál es el país más grande del mundo?,Rusia,Estados Unidos,Canadá,China,1
¿En qué continente está Egipto?,Asia,América,Europa,África,4
¿Cuál es el río más largo del mundo?,El Mississippi,El Yangtsé,El Amazonas,El Nilo,3
¿Qué país tiene forma de bota?,Portugal,Grecia,Italia,España,3
¿Dónde está ubicada la Torre Eiffel?,Francia,Italia,Inglaterra,Alemania,1
¿Quién pintó la Mona Lisa?,Miguel Ángel,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,2
¿Qué movimiento artístico impulsó Salvador Dalí?,Expresionismo,Impresionismo,Surrealismo,Cubismo,3
¿Qué instrumento usa un escultor?,Pincel,Lente,Pluma,Cincel,4
¿Cuál de estas obras es de Beethoven?,La Traviata,El Lago de los Cisnes,La Novena Sinfonía,Las Cuatro Estaciones,3
¿Qué artista pintó 'La noche estrellada'?,Claude Monet,Paul Cézanne,Diego Velázquez,Vincent van Gogh,4
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Miguel Ángel,1
¿Qué movimiento artístico impulsó Salvador Dalí?,Cubismo,Expresionismo,Surrealismo,Impresionismo,3
¿Qué instrumento usa un escultor?,Cincel,Pincel,Lente,Pluma,1
¿Cuál de estas obras es de Beethoven?,Las Cuatro Estaciones,La Novena Sinfonía,La Traviata,El Lago de los Cisnes,2
¿Qué artista pintó 'La noche estrellada'?,Vincent van Gogh,Claude Monet,Paul Cézanne,Diego Velázquez,1
¿Quién pintó la Mona Lisa?,Pablo Picasso,Vincent van Gogh,Miguel Ángel,Leonardo da Vinci,4
¿Qué movimiento artístico impulsó Salvador Dalí?,Cubismo,Surrealismo,Impresionismo,Expresionismo,2
¿Qué instrumento usa un escultor?,Lente,Cincel,Pluma,Pincel,2
¿Cuál de estas obras es de Beethoven?,El Lago de los Cisnes,La Traviata,Las Cuatro Estaciones,La Novena Sinfonía,4
¿Qué artista pintó 'La noche estrellada'?,Paul Cézanne,Vincent van Gogh,Claude Monet,Diego Velázquez,2
¿Quién pintó la Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Miguel Ángel,3
¿Qué movimiento artístico impulsó Salvador Dalí?,Surrealismo,Expresionismo,Impresionismo,Cubismo,1
¿Qué instrumento usa un escultor?,Lente,Pincel,Pluma,Cincel,4
¿Cuál de estas obras es de Beethoven?,La Traviata,El Lago de los Cisnes,Las Cuatro Estaciones,La Novena Sinfonía,4
¿Qué artista pintó 'La noche estrellada'?,Diego Velázquez,Vincent van Gogh,Paul Cézanne,Claude Monet,2
¿Quién pintó la Mona Lisa?,Miguel Ángel,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,2
¿Qué movimiento artístico impulsó Salvador Dalí?,Cubismo,Impresionismo,Expresionismo,Surrealismo,4
¿Qué instrumento usa un escultor?,Pincel,Pluma,Lente,Cincel,4
¿Cuál de estas obras es de Beethoven?,La Traviata,El Lago de los Cisnes,La Novena Sinfonía,Las Cuatro Estaciones,3
¿Qué artista pintó 'La noche estrellada'?,Paul Cézanne,Vincent van Gogh,Claude Monet,Diego Velázquez,2
¿Quién pintó la Mona Lisa?,Pablo Picasso,Miguel Ángel,Vincent van Gogh,Leonardo da Vinci,4
¿Qué movimiento artístico impulsó Salvador Dalí?,Expresionismo,Impresionismo,Surrealismo,Cubismo,3
¿Qué instrumento usa un escultor?,Pluma,Lente,Cincel,Pincel,3
¿Cuál de estas obras es de Beethoven?,Las Cuatro Estaciones,El Lago de los Cisnes,La Traviata,La Novena Sinfonía,4
¿Qué artista pintó 'La noche estrellada'?,Diego Velázquez,Paul Cézanne,Claude Monet,Vincent van Gogh,4
¿Quién pintó la Mona Lisa?,Vincent van Gogh,Pablo Picasso,Miguel Ángel,Leonardo da Vinci,4
¿Qué movimiento artístico impulsó Salvador Dalí?,Cubismo,Surrealismo,Impresionismo,Expresionismo,2
¿Qué instrumento usa un escultor?,Cincel,Pincel,Pluma,Lente,1
¿Cuál de estas obras es de Beethoven?,La Novena Sinfonía,El Lago de los Cisnes,La Traviata,Las Cuatro Estaciones,1
¿Qué artista pintó 'La noche estrellada'?,Paul Cézanne,Claude Monet,Diego Velázquez,Vincent van Gogh,4
¿Quién pintó la Mona Lisa?,Pablo Picasso,Miguel Ángel,Leonardo da Vinci,Vincent van Gogh,3
¿Qué movimiento artístico impulsó Salvador Dalí?,Impresionismo,Expresionismo,Cubismo,Surrealismo,4
¿Qué instrumento usa un escultor?,Lente,Cincel,Pluma,Pincel,2
¿Cuál de estas obras es de Beethoven?,Las Cuatro Estaciones,La Novena Sinfonía,La Traviata,El Lago de los Cisnes,2
¿Qué artista pintó 'La noche estrellada'?,Paul Cézanne,Diego Velázquez,Claude Monet,Vincent van Gogh,4
¿Quién pintó la Mona Lisa?,Pablo Picasso,Miguel Ángel,Leonardo da Vinci,Vincent van Gogh,3
¿Qué movimiento artístico impulsó Salvador Dalí?,Cubismo,Impresionismo,Surrealismo,Expresionismo,3
¿Qué instrumento usa un escultor?,Cincel,Pincel,Pluma,Lente,1
¿Cuál de estas obras es de Beethoven?,El Lago de los Cisnes,Las Cuatro Estaciones,La Traviata,La Novena Sinfonía,4
¿Qué artista pintó 'La noche estrellada'?,Claude Monet,Diego Velázquez,Paul Cézanne,Vincent van Gogh,4
¿Quién pintó la Mona Lisa?,Miguel Ángel,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,3
¿Qué movimiento artístico impulsó Salvador Dalí?,Impresionismo,Expresionismo,Cubismo,Surrealismo,4
¿Qué instrumento usa un escultor?,Pincel,Pluma,Cincel,Lente,3
¿Cuál de estas obras es de Beethoven?,Las Cuatro Estaciones,La Novena Sinfonía,La Traviata,El Lago de los Cisnes,2
¿Qué artista pintó 'La noche estrellada'?,Diego Velázquez,Paul Cézanne,Vincent van Gogh,Claude Monet,3
¿Quién interpreta a Iron Man en el cine?,Robert Downey Jr.,Mark Ruffalo,Chris Evans,Tom Holland,1
¿Qué saga tiene como protagonista a Harry Potter?,Percy Jackson,Harry Potter,Narnia,Los Juegos del Hambre,2
¿Qué plataforma produce la serie 'Stranger Things'?,Disney+,Amazon Prime,Netflix,HBO,3
¿Qué personaje amarillo vive en una piña bajo el mar?,Patricio,Homero,Calamardo,Bob Esponja,4
¿Qué película ganó el Oscar a Mejor Película en 2020?,Parásitos,1917,Érase una vez en Hollywood,Joker,1
¿Quién interpreta a Iron Man en el cine?,Tom Holland,Chris Evans,Mark Ruffalo,Robert Downey Jr.,4
¿Qué saga tiene como protagonista a Harry Potter?,Harry Potter,Percy Jackson,Narnia,Los Juegos del Hambre,1
¿Qué plataforma produce la serie 'Stranger Things'?,Netflix,HBO,Amazon Prime,Disney+,1
¿Qué personaje amarillo vive en una piña bajo el mar?,Patricio,Calamardo,Homero,Bob Esponja,4
¿Qué película ganó el Oscar a Mejor Película en 2020?,Érase una vez en Hollywood,Joker,Parásitos,1917,3
¿Quién interpreta a Iron Man en el cine?,Robert Downey Jr.,Tom Holland,Chris Evans,Mark Ruffalo,1
¿Qué saga tiene como protagonista a Harry Potter?,Percy Jackson,Narnia,Los Juegos del Hambre,Harry Potter,4
¿Qué plataforma produce la serie 'Stranger Things'?,Netflix,Disney+,HBO,Amazon Prime,1
¿Qué personaje amarillo vive en una piña bajo el mar?,Patricio,Homero,Calamardo,Bob Esponja,4
¿Qué película ganó el Oscar a Mejor Película en 2020?,1917,Joker,Érase una vez en Hollywood,Parásitos,4
¿Quién interpreta a Iron Man en el cine?,Chris Evans,Tom Holland,Mark Ruffalo,Robert Downey Jr.,4
¿Qué saga tiene como protagonista a Harry Potter?,Harry Potter,Narnia,Percy Jackson,Los Juegos del Hambre,1
¿Qué plataforma produce la serie 'Stranger Things'?,Disney+,Netflix,Amazon Prime,HBO,2
¿Qué personaje amarillo vive en una piña bajo el mar?,Bob Esponja,Patricio,Homero,Calamardo,1
¿Qué película ganó el Oscar a Mejor Película en 2020?,1917,Parásitos,Joker,Érase una vez en Hollywood,2
¿Quién interpreta a Iron Man en el cine?,Chris Evans,Robert Downey Jr.,Tom Holland,Mark Ruffalo,2
¿Qué saga tiene como protagonista a Harry Potter?,Narnia,Percy Jackson,Harry Potter,Los Juegos del Hambre,3
¿Qué plataforma produce la serie 'Stranger Things'?,Netflix,Disney+,HBO,Amazon Prime,1
¿Qué personaje amarillo vive en una piña bajo el mar?,Bob Esponja,Homero,Patricio,Calamardo,1
¿Qué película ganó el Oscar a Mejor Película en 2020?,Érase una vez en Hollywood,Joker,Parásitos,1917,3
¿Quién interpreta a Iron Man en el cine?,Chris Evans,Robert Downey Jr.,Tom Holland,Mark Ruffalo,2
¿Qué saga tiene como protagonista a Harry Potter?,Los Juegos del Hambre,Percy Jackson,Narnia,Harry Potter,4
¿Qué plataforma produce la serie 'Stranger Things'?,HBO,Netflix,Amazon Prime,Disney+,2
¿Qué personaje amarillo vive en una piña bajo el mar?,Calamardo,Homero,Bob Esponja,Patricio,3
¿Qué película ganó el Oscar a Mejor Película en 2020?,1917,Érase una vez en Hollywood,Parásitos,Joker,3
¿Quién interpreta a Iron Man en el cine?,Chris Evans,Robert Downey Jr.,Tom Holland,Mark Ruffalo,2
¿Qué saga tiene como protagonista a Harry Potter?,Los Juegos del Hambre,Narnia,Percy Jackson,Harry Potter,4
¿Qué plataforma produce la serie 'Stranger Things'?,HBO,Disney+,Amazon Prime,Netflix,4
¿Qué personaje amarillo vive en una piña bajo el mar?,Homero,Calamardo,Patricio,Bob Esponja,4
¿Qué película ganó el Oscar a Mejor Película en 2020?,Parásitos,Joker,Érase una vez en Hollywood,1917,1
¿Quién interpreta a Iron Man en el cine?,Mark Ruffalo,Chris Evans,Robert Downey Jr.,Tom Holland,3
¿Qué saga tiene como protagonista a Harry Potter?,Los Juegos del Hambre,Percy Jackson,Narnia,Harry Potter,4
¿Qué plataforma produce la serie 'Stranger Things'?,HBO,Disney+,Amazon Prime,Netflix,4
¿Qué personaje amarillo vive en una piña bajo el mar?,Calamardo,Bob Esponja,Patricio,Homero,2
¿Qué película ganó el Oscar a Mejor Película en 2020?,1917,Érase una vez en Hollywood,Joker,Parásitos,4
¿Quién interpreta a Iron Man en el cine?,Chris Evans,Tom Holland,Mark Ruffalo,Robert Downey Jr.,4
¿Qué saga tiene como protagonista a Harry Potter?,Narnia,Harry Potter,Percy Jackson,Los Juegos del Hambre,2
¿Qué plataforma produce la serie 'Stranger Things'?,Amazon Prime,HBO,Disney+,Netflix,4
¿Qué personaje amarillo vive en una piña bajo el mar?,Homero,Calamardo,Bob Esponja,Patricio,3
¿Qué película ganó el Oscar a Mejor Película en 2020?,Parásitos,1917,Érase una vez en Hollywood,Joker,1
¿Quién interpreta a Iron Man en el cine?,Tom Holland,Robert Downey Jr.,Chris Evans,Mark Ruffalo,2
¿Qué saga tiene como protagonista a Harry Potter?,Los Juegos del Hambre,Harry Potter,Narnia,Percy Jackson,2
¿Qué plataforma produce la serie 'Stranger Things'?,Disney+,HBO,Netflix,Amazon Prime,3
¿Qué personaje amarillo vive en una piña bajo el mar?,Patricio,Calamardo,Homero,Bob Esponja,4
¿Qué película ganó el Oscar a Mejor Película en 2020?,Érase una vez en Hollywood,Joker,1917,Parásitos,4
¿Cuántos jugadores hay en un equipo de fútbol?,11,12,10,9,1
¿Qué país ha ganado más Copas del Mundo de fútbol?,Brasil,Alemania,Argentina,Italia,1
¿Quién es conocido como 'La Pulga' en el fútbol?,Pelé,Neymar,Cristiano Ronaldo,Lionel Messi,4
¿En qué deporte se usa una raqueta?,Fútbol,Golf,Boxeo,Tenis,4
¿Qué deporte practica Michael Jordan?,Béisbol,Básquet,Atletismo,Fútbol,2
¿Cuántos jugadores hay en un equipo de fútbol?,10,12,11,9,3
¿Qué país ha ganado más Copas del Mundo de fútbol?,Argentina,Brasil,Italia,Alemania,2
¿Quién es conocido como 'La Pulga' en el fútbol?,Lionel Messi,Cristiano Ronaldo,Pelé,Neymar,1
¿En qué deporte se usa una raqueta?,Fútbol,Golf,Boxeo,Tenis,4
¿Qué deporte practica Michael Jordan?,Atletismo,Fútbol,Béisbol,Básquet,4
¿Cuántos jugadores hay en un equipo de fútbol?,10,11,12,9,2
¿Qué país ha ganado más Copas del Mundo de fútbol?,Argentina,Italia,Brasil,Alemania,3
¿Quién es conocido como 'La Pulga' en el fútbol?,Lionel Messi,Cristiano Ronaldo,Neymar,Pelé,1
¿En qué deporte se usa una raqueta?,Boxeo,Golf,Fútbol,Tenis,4
¿Qué deporte practica Michael Jordan?,Fútbol,Básquet,Béisbol,Atletismo,2
¿Cuántos jugadores hay en un equipo de fútbol?,12,9,10,11,4
¿Qué país ha ganado más Copas del Mundo de fútbol?,Brasil,Argentina,Alemania,Italia,1
¿Quién es conocido como 'La Pulga' en el fútbol?,Cristiano Ronaldo,Pelé,Lionel Messi,Neymar,3
¿En qué deporte se usa una raqueta?,Fútbol,Boxeo,Tenis,Golf,3
¿Qué deporte practica Michael Jordan?,Béisbol,Fútbol,Atletismo,Básquet,4
¿Cuántos jugadores hay en un equipo de fútbol?,12,10,9,11,4
¿Qué país ha ganado más Copas del Mundo de fútbol?,Alemania,Argentina,Italia,Brasil,4
¿Quién es conocido como 'La Pulga' en el fútbol?,Lionel Messi,Cristiano Ronaldo,Neymar,Pelé,1
¿En qué deporte se usa una raqueta?,Tenis,Boxeo,Golf,Fútbol,1
¿Qué deporte practica Michael Jordan?,Básquet,Atletismo,Fútbol,Béisbol,1
¿Cuántos jugadores hay en un equipo de fútbol?,11,9,12,10,1
¿Qué país ha ganado más Copas del Mundo de fútbol?,Argentina,Alemania,Italia,Brasil,4
¿Quién es conocido como 'La Pulga' en el fútbol?,Lionel Messi,Neymar,Pelé,Cristiano Ronaldo,1
¿En qué deporte se usa una raqueta?,Tenis,Boxeo,Fútbol,Golf,1
¿Qué deporte practica Michael Jordan?,Fútbol,Básquet,Atletismo,Béisbol,2
¿Cuántos jugadores hay en un equipo de fútbol?,12,11,10,9,2
¿Qué país ha ganado más Copas del Mundo de fútbol?,Brasil,Argentina,Alemania,Italia,1
¿Quién es conocido como 'La Pulga' en el fútbol?,Pelé,Neymar,Cristiano Ronaldo,Lionel Messi,4
¿En qué deporte se usa una raqueta?,Fútbol,Golf,Tenis,Boxeo,3
¿Qué deporte practica Michael Jordan?,Béisbol,Atletismo,Fútbol,Básquet,4
¿Cuántos jugadores hay en un equipo de fútbol?,10,11,9,12,2
¿Qué país ha ganado más Copas del Mundo de fútbol?,Brasil,Argentina,Alemania,Italia,1
¿Quién es conocido como 'La Pulga' en el fútbol?,Cristiano Ronaldo,Pelé,Neymar,Lionel Messi,4
¿En qué deporte se usa una raqueta?,Tenis,Boxeo,Golf,Fútbol,1
¿Qué deporte practica Michael Jordan?,Atletismo,Fútbol,Béisbol,Básquet,4
¿Cuántos jugadores hay en un equipo de fútbol?,12,9,11,10,3
¿Qué país ha ganado más Copas del Mundo de fútbol?,Italia,Argentina,Brasil,Alemania,3
¿Quién es conocido como 'La Pulga' en el fútbol?,Cristiano Ronaldo,Lionel Messi,Pelé,Neymar,2
¿En qué deporte se usa una raqueta?,Golf,Fútbol,Boxeo,Tenis,4
¿Qué deporte practica Michael Jordan?,Béisbol,Atletismo,Básquet,Fútbol,3
¿Cuántos jugadores hay en un equipo de fútbol?,11,12,9,10,1
¿Qué país ha ganado más Copas del Mundo de fútbol?,Italia,Brasil,Argentina,Alemania,2
¿Quién es conocido como 'La Pulga' en el fútbol?,Neymar,Pelé,Cristiano Ronaldo,Lionel Messi,4
¿En qué deporte se usa una raqueta?,Boxeo,Fútbol,Golf,Tenis,4
¿Qué deporte practica Michael Jordan?,Atletismo,Básquet,Béisbol,Fútbol,2
cuanto es la raiz cuadrada de 36,6,"5,6",7,3,1

